date,variable,value
4/13/23,Joanne,4.0
4/14/23,Joanne,0.0
4/15/23,Joanne,4.0
4/16/23,Joanne,2.0
4/17/23,Joanne,0.0
4/18/23,Joanne,0.0
4/19/23,Joanne,0.0
4/20/23,Joanne,12.0
4/21/23,Joanne,0.0
4/22/23,Joanne,2.0
4/23/23,Joanne,2.0
4/24/23,Joanne,1.0
4/25/23,Joanne,0.0
4/26/23,Joanne,9.0
4/27/23,Joanne,1.0
4/28/23,Joanne,2.0
4/29/23,Joanne,2.0
4/30/23,Joanne,0.0
5/1/23,Joanne,0.0
5/2/23,Joanne,2.0
5/3/23,Joanne,0.0
5/4/23,Joanne,9.0
5/5/23,Joanne,1.0
5/6/23,Joanne,1.0
5/7/23,Joanne,1.0
5/8/23,Joanne,4.0
5/9/23,Joanne,0.0
5/10/23,Joanne,0.0
5/11/23,Joanne,6.0
5/12/23,Joanne,1.0
8/13/22,Ivy,0.0
8/14/22,Ivy,0.0
8/15/22,Ivy,2.0
8/16/22,Ivy,3.0
8/17/22,Ivy,2.0
8/18/22,Ivy,0.0
8/19/22,Ivy,0.0
8/20/22,Ivy,0.0
8/21/22,Ivy,0.0
8/22/22,Ivy,1.0
8/23/22,Ivy,4.0
8/24/22,Ivy,0.0
8/25/22,Ivy,10.0
8/26/22,Ivy,4.0
8/27/22,Ivy,0.0
8/28/22,Ivy,0.0
8/29/22,Ivy,14.0
8/30/22,Ivy,0.0
8/31/22,Ivy,8.0
9/1/22,Ivy,5.0
9/2/22,Ivy,7.0
9/3/22 ,Ivy,11.0
9/4/22,Ivy,0.0
9/5/22,Ivy,7.0
9/6/22,Ivy,0.0
9/7/22,Ivy,0.0
9/8/22,Ivy,0.0
9/9/22,Ivy,0.0
9/10/22,Ivy,0.0
9/11/22,Ivy,1.0
9/12/22,Ivy,3.0
9/13/22,Ivy,9.0
9/14/22,Ivy,1.0
9/15/22,Ivy,0.0
9/16/22,Ivy,4.0
9/17/22,Ivy,2.0
9/18/22,Ivy,0.0
9/19/22,Ivy,2.0
9/20/22,Ivy,0.0
9/21/22,Ivy,0.0
9/22/22,Ivy,0.0
9/23/22,Ivy,0.0
9/24/22,Ivy,0.0
9/25/22,Ivy,0.0
9/26/22,Ivy,0.0
9/27/22,Ivy,0.0
9/28/22,Ivy,3.0
9/29/22,Ivy,0.0
9/30/22,Ivy,0.0
10/1/22,Ivy,0.0
10/2/22,Ivy,1.0
10/3/22,Ivy,3.0
10/4/22,Ivy,8.0
10/5/22,Ivy,5.0
10/6/22,Ivy,1.0
10/7/22,Ivy,3.0
10/8/22,Ivy,0.0
10/9/22,Ivy,0.0
10/10/22,Ivy,1.0
10/11/22,Ivy,0.0
10/12/22,Ivy,0.0
10/13/22,Ivy,0.0
10/14/22,Ivy,4.0
10/15/22,Ivy,1.0
10/16/22,Ivy,0.0
10/17/22,Ivy,2.0
10/18/22,Ivy,0.0
10/19/22,Ivy,0.0
10/20/22,Ivy,0.0
10/21/22,Ivy,0.0
10/22/22,Ivy,1.0
10/23/22,Ivy,0.0
10/24/22,Ivy,0.0
10/25/22,Ivy,0.0
10/26/22,Ivy,0.0
10/27/22,Ivy,0.0
10/28/22,Ivy,0.0
10/29/22,Ivy,0.0
10/30/22,Ivy,1.0
10/31/22,Ivy,17.0
11/1/22,Ivy,1.0
11/2/22,Ivy,0.0
11/3/22,Ivy,11.0
11/4/22,Ivy,0.0
11/5/22,Ivy,1.0
11/6/22,Ivy,0.0
11/7/22,Ivy,0.0
11/8/22,Ivy,0.0
11/9/22,Ivy,0.0
11/10/22,Ivy,1.0
11/11/22,Ivy,0.0
11/12/22,Ivy,0.0
11/13/22,Ivy,0.0
11/14/22,Ivy,0.0
11/15/22,Ivy,0.0
11/16/22,Ivy,0.0
11/17/22,Ivy,2.0
11/18/22,Ivy,0.0
11/19/22,Ivy,0.0
11/20/22,Ivy,0.0
11/21/22,Ivy,0.0
11/22/22,Ivy,11.0
11/23/22,Ivy,5.0
11/24/22,Ivy,4.0
11/25/22,Ivy,2.0
11/26/22,Ivy,1.0
11/27/22,Ivy,3.0
11/28/22,Ivy,4.0
11/29/22,Ivy,1.0
11/30/22,Ivy,2.0
12/1/22,Ivy,2.0
12/2/22,Ivy,1.0
12/3/22,Ivy,5.0
12/4/22,Ivy,0.0
12/5/22,Ivy,0.0
12/6/22,Ivy,0.0
12/7/22,Ivy,11.0
12/8/22,Ivy,2.0
12/9/22,Ivy,9.0
12/10/22,Ivy,1.0
12/11/22,Ivy,0.0
12/12/22,Ivy,21.0
12/13/22,Ivy,33.0
12/14/22,Ivy,3.0
12/15/22,Ivy,0.0
12/16/22,Ivy,5.0
12/17/22,Ivy,2.0
1/14/23,Ivy,10.0
1/15/23,Ivy,7.0
1/16/23,Ivy,3.0
1/17/23,Ivy,2.0
1/18/23,Ivy,2.0
1/19/23,Ivy,9.0
1/20/23,Ivy,1.0
1/21/23,Ivy,7.0
1/22/23,Ivy,0.0
1/23/23,Ivy,7.0
1/24/23,Ivy,11.0
1/25/23,Ivy,3.0
1/26/23,Ivy,8.0
1/27/23,Ivy,19.0
1/28/23,Ivy,20.0
1/29/23,Ivy,19.0
1/30/23,Ivy,13.0
1/31/23,Ivy,15.0
2/1/23,Ivy,3.0
2/2/23,Ivy,2.0
2/3/23,Ivy,1.0
2/4/23,Ivy,11.0
2/5/23,Ivy,0.0
2/6/23,Ivy,1.0
2/7/23,Ivy,7.0
2/8/23,Ivy,0.0
2/9/23,Ivy,9.0
2/10/23,Ivy,2.0
2/11/23,Ivy,0.0
2/12/23,Ivy,10.0
2/13/23,Ivy,9.0
2/14/23,Ivy,5.0
2/15/23,Ivy,13.0
2/16/23,Ivy,4.0
2/17/23,Ivy,34.0
2/18/23,Ivy,5.0
2/19/23,Ivy,11.0
2/20/23,Ivy,10.0
2/21/23,Ivy,2.0
2/22/23,Ivy,0.0
2/23/23,Ivy,1.0
2/24/23,Ivy,6.0
2/25/23,Ivy,5.0
2/26/23,Ivy,25.0
2/27/23,Ivy,0.0
2/28/23,Ivy,0.0
3/1/23,Ivy,0.0
3/2/23,Ivy,0.0
3/3/23,Ivy,2.0
3/4/23,Ivy,1.0
3/5/23,Ivy,6.0
3/6/23,Ivy,3.0
3/7/23,Ivy,0.0
3/8/23,Ivy,0.0
3/9/23,Ivy,2.0
3/10/23,Ivy,1.0
3/11/23,Ivy,11.0
3/12/23,Ivy,15.0
3/13/23,Ivy,3.0
3/14/23,Ivy,0.0
3/15/23,Ivy,3.0
3/16/23,Ivy,1.0
3/17/23,Ivy,0.0
3/18/23,Ivy,7.0
3/19/23,Ivy,0.0
3/20/23,Ivy,1.0
3/21/23,Ivy,4.0
3/22/23,Ivy,1.0
3/23/23,Ivy,3.0
3/24/23,Ivy,0.0
3/25/23,Ivy,33.0
3/27/23,Ivy,8.0
3/28/23,Ivy,0.0
3/29/23,Ivy,0.0
3/30/23,Ivy,0.0
3/31/23,Ivy,0.0
4/1/23,Ivy,0.0
4/2/23,Ivy,0.0
4/3/23,Ivy,5.0
4/4/23,Ivy,3.0
4/5/23,Ivy,0.0
4/6/23,Ivy,4.0
4/7/23,Ivy,17.0
4/8/23,Ivy,8.0
4/9/23,Ivy,1.0
4/10/23,Ivy,4.0
4/11/23,Ivy,11.0
4/12/23,Ivy,2.0
4/13/23,Ivy,1.0
4/14/23,Ivy,2.0
4/15/23,Ivy,10.0
4/16/23,Ivy,13.0
4/17/23,Ivy,10.0
4/18/23,Ivy,3.0
4/19/23,Ivy,0.0
4/20/23,Ivy,1.0
4/21/23,Ivy,0.0
4/22/23,Ivy,13.0
4/23/23,Ivy,5.0
4/24/23,Ivy,5.0
4/25/23,Ivy,0.0
4/26/23,Ivy,0.0
4/27/23,Ivy,1.0
4/28/23,Ivy,1.0
4/29/23,Ivy,5.0
4/30/23,Ivy,0.0
5/1/23,Ivy,0.0
5/2/23,Ivy,19.0
5/3/23,Ivy,0.0
5/4/23,Ivy,0.0
5/5/23,Ivy,2.0
5/6/23,Ivy,0.0
5/7/23,Ivy,0.0
5/8/23,Ivy,16.0
5/9/23,Ivy,3.0
5/10/23,Ivy,9.0
5/11/23,Ivy,9.0
5/12/23,Ivy,2.0
8/13/22,Woosung,0.0
8/14/22,Woosung,0.0
8/15/22,Woosung,0.0
8/16/22,Woosung,1.0
8/17/22,Woosung,0.0
8/18/22,Woosung,6.0
8/19/22,Woosung,0.0
8/20/22,Woosung,0.0
8/21/22,Woosung,1.0
8/22/22,Woosung,1.0
8/23/22,Woosung,1.0
8/24/22,Woosung,4.0
8/25/22,Woosung,4.0
8/26/22,Woosung,6.0
8/27/22,Woosung,1.0
8/28/22,Woosung,2.0
8/29/22,Woosung,13.0
8/30/22,Woosung,1.0
8/31/22,Woosung,6.0
9/1/22,Woosung,0.0
9/2/22,Woosung,3.0
9/3/22 ,Woosung,6.0
9/4/22,Woosung,8.0
9/5/22,Woosung,5.0
9/6/22,Woosung,0.0
9/7/22,Woosung,0.0
9/8/22,Woosung,1.0
9/9/22,Woosung,0.0
9/10/22,Woosung,1.0
9/11/22,Woosung,1.0
9/12/22,Woosung,4.0
9/13/22,Woosung,4.0
9/14/22,Woosung,1.0
9/15/22,Woosung,0.0
9/16/22,Woosung,0.0
9/17/22,Woosung,5.0
9/18/22,Woosung,4.0
9/19/22,Woosung,0.0
9/20/22,Woosung,0.0
9/21/22,Woosung,4.0
9/22/22,Woosung,2.0
9/23/22,Woosung,3.0
9/24/22,Woosung,3.0
9/25/22,Woosung,0.0
9/26/22,Woosung,6.0
9/27/22,Woosung,4.0
9/28/22,Woosung,0.0
9/29/22,Woosung,0.0
9/30/22,Woosung,1.0
10/1/22,Woosung,0.0
10/2/22,Woosung,4.0
10/3/22,Woosung,6.0
10/4/22,Woosung,4.0
10/5/22,Woosung,6.0
10/6/22,Woosung,0.0
10/7/22,Woosung,0.0
10/8/22,Woosung,0.0
10/9/22,Woosung,0.0
10/10/22,Woosung,2.0
10/11/22,Woosung,1.0
10/12/22,Woosung,0.0
10/13/22,Woosung,2.0
10/14/22,Woosung,9.0
10/15/22,Woosung,5.0
10/16/22,Woosung,0.0
10/17/22,Woosung,3.0
10/18/22,Woosung,1.0
10/19/22,Woosung,7.0
10/20/22,Woosung,0.0
10/21/22,Woosung,9.0
10/22/22,Woosung,2.0
10/23/22,Woosung,1.0
10/24/22,Woosung,0.0
10/25/22,Woosung,0.0
10/26/22,Woosung,1.0
10/27/22,Woosung,0.0
10/28/22,Woosung,0.0
10/29/22,Woosung,0.0
10/30/22,Woosung,2.0
10/31/22,Woosung,10.0
11/1/22,Woosung,2.0
11/2/22,Woosung,7.0
11/3/22,Woosung,0.0
11/4/22,Woosung,0.0
11/5/22,Woosung,2.0
11/6/22,Woosung,0.0
11/7/22,Woosung,0.0
11/8/22,Woosung,0.0
11/9/22,Woosung,5.0
11/10/22,Woosung,2.0
11/11/22,Woosung,0.0
11/12/22,Woosung,12.0
11/13/22,Woosung,0.0
11/14/22,Woosung,0.0
11/15/22,Woosung,4.0
11/16/22,Woosung,1.0
11/17/22,Woosung,16.0
11/18/22,Woosung,0.0
11/19/22,Woosung,0.0
11/20/22,Woosung,0.0
11/21/22,Woosung,0.0
11/22/22,Woosung,7.0
11/23/22,Woosung,5.0
11/24/22,Woosung,3.0
11/25/22,Woosung,6.0
11/26/22,Woosung,2.0
11/27/22,Woosung,9.0
11/28/22,Woosung,3.0
11/29/22,Woosung,1.0
11/30/22,Woosung,8.0
12/1/22,Woosung,12.0
12/2/22,Woosung,2.0
12/3/22,Woosung,8.0
12/4/22,Woosung,1.0
12/5/22,Woosung,3.0
12/6/22,Woosung,3.0
12/7/22,Woosung,10.0
12/8/22,Woosung,2.0
12/9/22,Woosung,7.0
12/10/22,Woosung,0.0
12/11/22,Woosung,1.0
12/12/22,Woosung,11.0
12/13/22,Woosung,19.0
12/14/22,Woosung,4.0
12/15/22,Woosung,6.0
12/16/22,Woosung,6.0
12/17/22,Woosung,12.0
1/14/23,Woosung,6.0
1/15/23,Woosung,16.0
1/16/23,Woosung,3.0
1/17/23,Woosung,1.0
1/18/23,Woosung,2.0
1/19/23,Woosung,10.0
1/20/23,Woosung,0.0
1/21/23,Woosung,9.0
1/22/23,Woosung,0.0
1/23/23,Woosung,5.0
1/24/23,Woosung,3.0
1/25/23,Woosung,3.0
1/26/23,Woosung,11.0
1/27/23,Woosung,11.0
1/28/23,Woosung,17.0
1/29/23,Woosung,9.0
1/30/23,Woosung,7.0
1/31/23,Woosung,14.0
2/1/23,Woosung,2.0
2/2/23,Woosung,5.0
2/3/23,Woosung,0.0
2/4/23,Woosung,1.0
2/5/23,Woosung,1.0
2/6/23,Woosung,1.0
2/7/23,Woosung,5.0
2/8/23,Woosung,3.0
2/9/23,Woosung,3.0
2/10/23,Woosung,9.0
2/11/23,Woosung,0.0
2/12/23,Woosung,8.0
2/13/23,Woosung,5.0
2/14/23,Woosung,2.0
2/15/23,Woosung,7.0
2/16/23,Woosung,6.0
2/17/23,Woosung,16.0
2/18/23,Woosung,11.0
2/19/23,Woosung,4.0
2/20/23,Woosung,5.0
2/21/23,Woosung,1.0
2/22/23,Woosung,4.0
2/23/23,Woosung,2.0
2/24/23,Woosung,4.0
2/25/23,Woosung,2.0
2/26/23,Woosung,3.0
2/27/23,Woosung,1.0
2/28/23,Woosung,0.0
3/1/23,Woosung,0.0
3/2/23,Woosung,5.0
3/3/23,Woosung,1.0
3/4/23,Woosung,1.0
3/5/23,Woosung,5.0
3/6/23,Woosung,6.0
3/7/23,Woosung,2.0
3/8/23,Woosung,3.0
3/9/23,Woosung,5.0
3/10/23,Woosung,1.0
3/11/23,Woosung,12.0
3/12/23,Woosung,2.0
3/13/23,Woosung,4.0
3/14/23,Woosung,5.0
3/15/23,Woosung,9.0
3/16/23,Woosung,1.0
3/17/23,Woosung,0.0
3/18/23,Woosung,8.0
3/19/23,Woosung,0.0
3/20/23,Woosung,1.0
